year,type,importance,event,link
1920,world,,Gandhi non-cooperation movement,
1925,thailand,,ร.7 ขึ้นครองราชย์,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AD%E0%B8%A2%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B1%E0%B8%A7
1928,world,,Mickey Mouse first appeared,
1929,world,,Wall Street Crash,https://en.wikipedia.org/wiki/Wall_Street_Crash_of_1929
1929,world,1,The Great Depression,
1932,thailand,,การปฏิวัติสยาม เป็นประชาธิปไตย พ.ศ. 2475,https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9B%E0%B8%8F%E0%B8%B4%E0%B8%A7%E0%B8%B1%E0%B8%95%E0%B8%B4%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1_%E0%B8%9E.%E0%B8%A8._2475
1933,thailand,,กบฎบวรเดช,https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%9A%E0%B8%8F%E0%B8%9A%E0%B8%A7%E0%B8%A3%E0%B9%80%E0%B8%94%E0%B8%8A
1935,thailand,,ร.8 ขึ้นครองราชย์,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%A3%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%AD%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A1%E0%B8%AB%E0%B8%B4%E0%B8%94%E0%B8%A5_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B1%E0%B8%90%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%9A%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3
1938,thailand,,จอมพลป. เป็นนายก,https://th.wikipedia.org/wiki/%E0%B9%81%E0%B8%9B%E0%B8%A5%E0%B8%81_%E0%B8%9E%E0%B8%B4%E0%B8%9A%E0%B8%B9%E0%B8%A5%E0%B8%AA%E0%B8%87%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%A1
1939,world,1,Start of WWII,
1939,thailand,,ประกาศใช้กฏหมายรัฐนิยม,https://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%99%E0%B8%B4%E0%B8%A2%E0%B8%A1
1939,thailand,,สุนทราภรณ์ ก่อตั้ง,
1941,thailand,,เกิดขบวนการเสรีไทย,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B5%E0%B9%84%E0%B8%97%E0%B8%A2
1945,world,,The Hiroshima/Nagasaki Bombing,
1945,world,1,End of WWII,
1945,world,1,Start of Cold War,
1945,world,,India-Pakistan partition,
1946,thailand,,ร.8 สวรรคต,https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%84%E0%B8%95%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%A3%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%AD%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A1%E0%B8%AB%E0%B8%B4%E0%B8%94%E0%B8%A5
1946,thailand,,ร.9 ขึ้นครองราชย์,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4%E0%B8%9E%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B8%B8%E0%B8%A5%E0%B8%A2%E0%B9%80%E0%B8%94%E0%B8%8A%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A_%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%99%E0%B8%B2%E0%B8%96%E0%B8%9A%E0%B8%9E%E0%B8%B4%E0%B8%95%E0%B8%A3
1947,thailand,,รัฐประหารโดย ????,https://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2490
1949,world,,Mao Zedong rose to power,
1950,world,,Start of Korean War,
1950,thailand,,บรมราชาภิเษก ร.9,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%9E%E0%B8%B4%E0%B8%98%E0%B8%B5%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B2%E0%B8%A0%E0%B8%B4%E0%B9%80%E0%B8%A9%E0%B8%81_%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%A3%E0%B8%B2%E0%B8%8A_2493
1953,thailand,,ศาลาเฉลิมไทยกลายเป็นโรงภาพยนตร์,https://th.wikipedia.org/wiki/%E0%B8%A8%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%89%E0%B8%A5%E0%B8%B4%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2#%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%82%E0%B8%A3%E0%B8%88%E0%B8%99%E0%B9%8C%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%99%E0%B8%A7%E0%B8%B1%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1
1955,world,2,Start of Vietnam War,https://en.wikipedia.org/wiki/Vietnam_War
1957,world,,First satellite in orbit (Television broadcasting),
1957,thailand,,รัฐประหารโดย ????,https://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2500
1959,thailand,,สฤษดิ์ ธนะรัชต์ เป็นนายก,https://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%A4%E0%B8%A9%E0%B8%94%E0%B8%B4%E0%B9%8C_%E0%B8%98%E0%B8%99%E0%B8%B0%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%95%E0%B9%8C
1960,thailand,,ก่อตั้งการบินไทย,https://en.wikipedia.org/wiki/Thai_Airways
1961,world,,JFK became a president,
1963,world,2,JFK assasinated,
1963,world,,"MLK's ""I have a dream"" speech",
1964,world,,Tokyo Olympics,https://en.wikipedia.org/wiki/1964_Summer_Olympics
1964,world,,The Beatles Became a Hit,https://en.wikipedia.org/wiki/The_Beatles
1964,thailand,,ห้างไทยไดมารูเปิดให้บริการ,https://th.wikipedia.org/wiki/%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B8%B9
1965,world,3,Indonesian Communist Purge Started,
1965,thailand,,อาภัสรา หงสกุล นางงามจักรวาลคนแรกของไทย,
1966,world,2,China's Cultural Revolution,
1966,thailand,,โรงภาพยนตร์สยามฉายหนังเรื่องแรก,https://th.wikipedia.org/wiki/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%A0%E0%B8%B2%E0%B8%9E%E0%B8%A2%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%81%E0%B8%8B%E0%B9%8C
1968,world,,Martin Luther King jr. assasinated,
1969,world,,1st man on the moon,
1970,world,,1st Pride Parade,
1970,thailand,,มิตร ชัยบัญชา ตกเฮลิคอปเตอร์,https://th.wikipedia.org/wiki/%E0%B8%A1%E0%B8%B4%E0%B8%95%E0%B8%A3_%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%9A%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2
1972,world,3,Martial Law in Phillipines under Ferdinand Marcos,https://en.wikipedia.org/wiki/Martial_law_under_Ferdinand_Marcos
1973,thailand,,14 ตุลา,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%AB%E0%B8%95%E0%B8%B8%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B9%8C_14_%E0%B8%95%E0%B8%B8%E0%B8%A5%E0%B8%B2
1975,world,3,Khmer Rouge rose to power,https://en.wikipedia.org/wiki/Khmer_Rouge
1975,world,,Pathet Lao rose to power,https://en.wikipedia.org/wiki/Pathet_Lao
1975,world,,"Fall of Saigon, End of Vietnam War",https://en.wikipedia.org/wiki/Vietnam_War
1975,world,,Microsoft Founded,https://en.wikipedia.org/wiki/Microsoft
1976,world,,Apple Inc. Founded,https://en.wikipedia.org/wiki/Apple_Inc.
1976,thailand,,6 ตุลา,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%AB%E0%B8%95%E0%B8%B8%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B9%8C_6_%E0%B8%95%E0%B8%B8%E0%B8%A5%E0%B8%B2
1977,world,3,Star Wars: the New Hope,
1977,thailand,,แผลเก่า เวอร์ชันสรพงศ์ชาตรี,https://th.wikipedia.org/wiki/%E0%B9%81%E0%B8%9C%E0%B8%A5%E0%B9%80%E0%B8%81%E0%B9%88%E0%B8%B2
1978,world,,Deng Xiaoping rose to power จีนเปิดประเทศ,
1978,thailand,,ก่อตั้ั้ง CPF ,https://en.wikipedia.org/wiki/Charoen_Pokphand_Foods
1979,world,2,Margaret Thatcher rose to power,
1981,world,,Ronald Reagan became a president,
1981,thailand,,ก่อตั้ง the Mall Group ห้างแห่งแรกของไทย บนถนนราชดำริ,https://en.wikipedia.org/wiki/The_Mall_Group
1981,thailand,,ี้่ร้านอาหาร Inter ที่สยามเปิดให้บริการ,https://www.wongnai.com/reviews/6beb02ace7d347cc9e46a8a31aba7827
1982,thailand,,Central Group มีห้างแห่งแรกที่ลาดพร้าว,https://en.wikipedia.org/wiki/CentralPlaza_Lardprao
1982,thailand,,สาว สาว สาว ออกอัลบั้มแรก,https://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%B2%E0%B8%A7_%E0%B8%AA%E0%B8%B2%E0%B8%A7_%E0%B8%AA%E0%B8%B2%E0%B8%A7
1984,world,,"Apple Macintosh launched, dawn of personal computing",
1984,thailand,,ก่อตั้งแกรมมี ดังเป็นพลุแตกจากอัลบั้มแรกของเต๋อเรวัตกับคาราบาว,https://th.wikipedia.org/wiki/%E0%B8%88%E0%B8%B5%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1_%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%B5%E0%B9%88
1985,world,,1st Mario game on Super Famicom,
1985,thailand,,แมคโดนัลด์สาขาแรกในไทย,
1986,world,,Chernobyl disaster,
1986,thailand,,พี่เบิร์ดปล่อยอัลบั้มแรก หาดทรายสายลมสองเรา,https://en.wikipedia.org/wiki/Thongchai_McIntyre
1986,thailand,,"อัสนี วสันต์ ออกอัลบั้มแรก ""บ้าหอบฟาง""",
1989,world,,World Wide Web invented,
1989,world,,Tainanmen Square massacre,
1989,thailand,,เซเว่นแห่งแรกของไทย บนถนนพัฒน์พงศ์,https://en.wikipedia.org/wiki/Charoen_Pokphand#7-Eleven
1990,world,,Fall of the Berlin Wall,https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall
1991,world,,Dissolution of the Soviet Union,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
1991,world,1,End of Cold War,
1991,world,,Michael Jordan won his first NBA,https://en.wikipedia.org/wiki/Michael_Jordan
